Mês,Dia,Canal Venda,Total Bruta,Total Cancelamento Comercial,Total Liquida,Total Instaladas
agosto,1,ECOMMERCE,1,,1,
agosto,1,GESTOR COMERCIAL,1,,1,1
agosto,1,SITE,20,2,20,14
agosto,1,TELEVENDAS ATIVO,22,1,22,18
agosto,1,TELEVENDAS RECEPTIVO,43,2,43,29
agosto,1,WHATSAPP,81,4,80,99
agosto,2,SITE,,,,4
agosto,2,TELEVENDAS ATIVO,,,,5
agosto,2,TELEVENDAS RECEPTIVO,,,,3
agosto,2,WHATSAPP,38,,38,16
agosto,3,ECOMMERCE,6,,6,2
agosto,3,SITE,26,2,21,20
agosto,3,TELEVENDAS ATIVO,34,3,30,28
agosto,3,TELEVENDAS RECEPTIVO,79,8,67,57
agosto,3,WHATSAPP,202,21,181,158
agosto,4,ECOMMERCE,4,,4,2
agosto,4,GESTOR COMERCIAL,1,,1,
agosto,4,SITE,34,1,32,22
agosto,4,TELEVENDAS ATIVO,50,7,47,26
agosto,4,TELEVENDAS RECEPTIVO,40,2,39,34
agosto,4,WHATSAPP,150,7,139,119
agosto,5,ECOMMERCE,3,,3,4
agosto,5,GESTOR COMERCIAL,,,,1
agosto,5,SITE,24,3,20,21
agosto,5,TELEVENDAS ATIVO,44,4,40,46
agosto,5,TELEVENDAS RECEPTIVO,54,11,43,52
agosto,5,WHATSAPP,183,12,175,159
agosto,6,ECOMMERCE,1,,1,
agosto,6,GESTOR COMERCIAL,1,1,1,
agosto,6,SITE,23,5,16,25
agosto,6,TELEVENDAS ATIVO,46,5,39,33
agosto,6,TELEVENDAS RECEPTIVO,46,3,44,46
agosto,6,WHATSAPP,158,15,146,163
agosto,7,ECOMMERCE,2,,2,3
agosto,7,SITE,17,1,16,24
agosto,7,TELEVENDAS ATIVO,43,2,40,47
agosto,7,TELEVENDAS RECEPTIVO,40,4,38,45
agosto,7,WHATSAPP,148,11,133,140
agosto,8,ECOMMERCE,1,,1,2
agosto,8,SITE,21,1,21,10
agosto,8,TELEVENDAS ATIVO,33,,33,21
agosto,8,TELEVENDAS RECEPTIVO,29,1,28,23
agosto,8,WHATSAPP,78,3,76,80
agosto,9,SITE,,,,4
agosto,9,TELEVENDAS ATIVO,1,,1,2
agosto,9,TELEVENDAS RECEPTIVO,,,,1
agosto,9,WHATSAPP,28,1,28,12
agosto,10,ECOMMERCE,8,,7,4
agosto,10,SITE,37,,37,24
agosto,10,TELEVENDAS ATIVO,50,5,44,42
agosto,10,TELEVENDAS RECEPTIVO,61,8,53,34
agosto,10,WHATSAPP,211,16,200,140
agosto,11,ECOMMERCE,1,,1,3
agosto,11,SITE,37,3,35,25
agosto,11,TELEVENDAS ATIVO,40,3,34,40
agosto,11,TELEVENDAS RECEPTIVO,53,5,44,46
agosto,11,WHATSAPP,180,6,165,155
agosto,12,ECOMMERCE,1,,1,1
agosto,12,GESTOR COMERCIAL,1,,1,
agosto,12,SITE,38,,36,24
agosto,12,TELEVENDAS ATIVO,44,1,40,29
agosto,12,TELEVENDAS RECEPTIVO,55,3,48,44
agosto,12,WHATSAPP,159,8,139,138
agosto,13,ECOMMERCE,1,,0,5
agosto,13,GESTOR COMERCIAL,,1,-1,
agosto,13,SITE,24,1,19,22
agosto,13,TELEVENDAS ATIVO,39,5,33,38
agosto,13,TELEVENDAS RECEPTIVO,41,1,40,45
agosto,13,WHATSAPP,145,5,137,139
agosto,14,ECOMMERCE,2,,1,3
agosto,14,SITE,24,1,20,27
agosto,14,TELEVENDAS ATIVO,37,1,29,38
agosto,14,TELEVENDAS RECEPTIVO,47,1,44,37
agosto,14,WHATSAPP,120,15,98,123
agosto,15,ECOMMERCE,,,,1
agosto,15,SITE,13,,13,17
agosto,15,TELEVENDAS ATIVO,25,,25,19
agosto,15,TELEVENDAS RECEPTIVO,39,,39,35
agosto,15,WHATSAPP,79,1,79,80
agosto,16,SITE,,,,4
agosto,16,TELEVENDAS ATIVO,,,,5
agosto,16,TELEVENDAS RECEPTIVO,,,,3
agosto,16,WHATSAPP,40,,40,13
agosto,17,ECOMMERCE,1,,1,2
agosto,17,GESTOR COMERCIAL,1,,1,
agosto,17,SITE,33,1,29,20
agosto,17,TELEVENDAS ATIVO,23,2,19,31
agosto,17,TELEVENDAS RECEPTIVO,52,3,49,54
agosto,17,WHATSAPP,193,9,178,172
